Apartment Name,Short Description,Guest Number,Bedroom Number,Bed Number,Bath Number,Price per Night,Host Name,Account Active Since
Casita rural remanso de paz.,"Barn in Vilanova del Vallès, Spain",4,1,Not specified,1,€ 95 ,Hosted by Paco,1 year hosting
Sa casa sana an apartment in an idyllic space.,"Entire guesthouse in La Roca del Vallès, Spain",3,1,4,1,€ 86 ,Hosted by Maria Teresa, · 5 years hosting
inspiring mediterranean house,"Entire home in El Masnou, Spain",3,2,2,1.5,€ 143 ,Hosted by Sandra,11 years hosting
AS3 Small room for 1!,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 97 ,Hosted by Artur,2 years hosting
limehome Barcelona Besalú Hotel|DoubleRoom+Balcony,"Room in hotel in Barcelona, Spain",2,1,1,1,€ 220 ,Hosted by Limehome,2 years hosting
"Salles Pere IV, Double Deluxe Room","Room in boutique hotel in Barcelona, Spain",2,1,1,1,€ 267 ,Hosted by Salles Pere IV,5 years hosting
inspiring mediterranean house,"Entire home in El Masnou, Spain",3,2,2,1.5,€ 143 ,Hosted by Sandra,11 years hosting
"Single room H3, house 25"" from Barcelona","Room in Cabrils, Spain",Not specified,Not specified,1,Dedicated,€ 72 ,Stay with Silvia, · 1 year hosting
"Modern art-laden, museum-hotel vibe","Room in hotel in Barcelona, Spain",2,1,Not specified,1,€ 218 ,Hosted by Vincci Bit, · 1 year hosting
Oasis in Sant Adrià,"Room in Sant Adrià de Besòs, Spain",Not specified,2,2,Shared,€ 106 ,Stay with Angel,7 years hosting
Bright Room Circuit de Catalunya,"Room in La Roca del Vallès, Spain",Not specified,Not specified,1,Shared,€ 52 ,Stay with Maria,2 years hosting
Bright Double Room Circuit de Catalunya,"Room in La Roca del Vallès, Spain",Not specified,Not specified,1,Shared,€ 55 ,Stay with Maria,2 years hosting
Magnificent house next to the beach.,"Entire home in Castelldefels, Spain",8,4,5,3,€ 400 ,Hosted by Holiday Castelldefels,7 years hosting
Traveler's House (1920 Modernist-style rooms),"Room in Terrassa, Spain",Not specified,1,Not specified,Shared,€ 66 ,Stay with David,4 years hosting
Bedroom Sagrada Familia,"Room in Barcelona, Spain",Not specified,1,Not specified,Shared,€ 145 ,Hosted by Jordi,6 years hosting
The Florete little house Romantic.,"Room in Vilassar de Dalt, Spain",Not specified,Not specified,1,Private,€ 80 ,Stay with Ariana, · 4 years hosting
Double Room Near the center,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 110 ,Hosted by Lucia,2 years hosting
Double bed - Best location BCN,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 94 ,Hosted by Welcome,8 years hosting
Lovely bedroom rental with patio,"Room in Premià de Mar, Spain",Not specified,2,Not specified,Shared,€ 55 ,Stay with Miriam,1 year hosting
1 bed in a 8-bed mixed dorm at ACYHostel,"Room in Barcelona, Spain",Not specified,Not specified,4,3,€ 75 ,Hosted by Alvand,8 years hosting
Fantastic house with pool 5 min walk to the sea,"Entire home in Gavà, Spain",6,3,3,2,€ 431 ,Hosted by Marie, · 8 years hosting
Romantic Room Quiet and spacious.,"Room in Sant Feliu de Llobregat, Spain",Not specified,Not specified,1,Shared,€ 71 ,Stay with Cecilia,8 months hosting
Private room in countryhouse- Room 2,"Room in Torrelles de Llobregat, Spain",Not specified,1,Not specified,Shared,€ 90 ,Stay with Martin,1 year hosting
Shared room 3,"Room in Terrassa, Spain",Not specified,Not specified,1,1.5,€ 25 ,Hosted by José Manuel,8 years hosting
Rustic double room.,"Room in Mollet del Vallès, Spain",Not specified,1,Not specified,Shared,€ 71 ,Stay with Sara,2 years hosting
Single Room with shared bathroom,"Room in hotel in Barcelona, Spain",1,1,1,1,€ 163 ,Hosted by Free Hostels,10 years hosting
Room is rented per night.,"Room in Gavà, Spain",Not specified,Not specified,1,Shared,€ 62 ,Stay with Erica,2 months hosting
Happy hosting,"Private room in home in Sant Feliu de Llobregat, Spain",2,1,Not specified,1,€ 65 ,Hosted by Jansel,6 months hosting
Charming renovated townhouse,"Entire home in Vilassar de Dalt, Spain",6,3,4,2,€ 210 ,Hosted by Adrià And Manuel, · 7 years hosting
2br apart.near Barcelona.Beach.up to 5pax,"Entire rental unit in Castelldefels, Spain",5,2,4,1,€ 182 ,Hosted by Eliseo,13 years hosting
Light and cosy room,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 80 ,Hosted by Christophe,2 years hosting
DoubleRoom w/ Private Bathroom,"Room in Vilassar de Mar, Spain",Not specified,Not specified,1,Private,€ 62 ,Stay with Denis,2 years hosting
room,"Room in Cerdanyola del Vallès, Spain",Not specified,2,3,Dedicated,Price not specified,Hosted by Laura,2 years hosting
Shared room 4,"Room in Terrassa, Spain",Not specified,Not specified,1,1.5,€ 27 ,Hosted by José Manuel,8 years hosting
Diagonal individual,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,Price not specified,Hosted by Josiane,8 years hosting
Barcelona Room - Eixample,"Room in Barcelona, Spain",Not specified,1,Not specified,Shared,€ 135 ,Stay with Gonzalo,10 months hosting
Gavà Mar- Villa Lujo 6 Pax,"Entire home in Gavà, Spain",6,4,Not specified,3.5,€ 360 ,Hosted by Apartaments Lu Like Home Sl,5 years hosting
2br apart.near Barcelona.Beach.up to 5pax,"Entire rental unit in Castelldefels, Spain",5,2,4,1,€ 182 ,Hosted by Eliseo,13 years hosting
For lovers of sun and tranquility,"Entire rental unit in Argentona, Spain",4,2,2,1,€ 91 ,Hosted by Silvia,2 years hosting
"Nice house with garden, pool and ocean view","Entire home in Premià de Dalt, Spain",6,3,5,2,€ 302 ,Hosted by David,2 years hosting
Axel City Doble - 2 Pax,"Room in hotel in Barcelona, Spain",2,1,1,1,€ 240 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
Privilege Room,"Room in hotel in Badalona, Spain",2,1,1,1,€ 287 ,Hosted by Hotel Marina, · 1 year hosting
"Small room, by the sea!!!","Room in El Masnou, Spain",Not specified,Not specified,1,Shared,€ 100 ,Hosted by Alejandro,11 years hosting
Villa with pools 20 minutes from Barcelona,"Entire home in Cervelló, Spain",7,3,5,1.5,€ 250 ,Hosted by Lea,5 years hosting
Axel City Double - 1 Pax,"Room in hotel in Barcelona, Spain",1,1,1,1,€ 240 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
Comfy double room with easy access to city centre,"Room in hotel in L'Hospitalet de Llobregat, Spain",2,1,Not specified,1,€ 153 ,Hosted by Easyhotel Barcelona,1 month hosting
FULL HOUSE  GARDEN SWIMINGPOOL BEACH 20 MIN BCN,"Entire home in El Masnou, Spain",9,5,5,2,€ 305 ,Hosted by Xavi,7 years hosting
Rent boat in Barcelona,"Boat in Barcelona, Spain",4,2,2,3,€ 145 ,Hosted by Federico B., · 5 years hosting
"ROOM NUMBER 1, NEAR CAMP NOU","Room in L'Hospitalet de Llobregat, Spain",Not specified,Not specified,1,Shared,€ 80 ,Hosted by Juan Carlos,6 years hosting
Magnificent boat,"Boat in Sant Adrià de Besòs, Spain",4,1,2,1.5,€ 180 ,Hosted by Adrian,2 years hosting
room,"Room in Premià de Mar, Spain",Not specified,Not specified,1,Shared,€ 46 ,Hosted by Rosa,1 year hosting
"Private room, female only, free wifi , solo mujer","Private room in guesthouse in L'Hospitalet de Llobregat, Spain",1,1,1,1,€ 69 ,Hosted by Abbady,5 years hosting
Mountain house room 2 people,"Room in Vilassar de Dalt, Spain",Not specified,Not specified,1,Shared,€ 62 ,Stay with Paula Alicia,3 years hosting
Sacred Family Room,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 126 ,Stay with Luis,6 years hosting
"Standard Double Room, Sea View","Room in hotel in Badalona, Spain",2,1,1,1,€ 242 ,Hosted by Hotel Marina, · 1 year hosting
Axel Premium - 2 Pax,"Room in hotel in Barcelona, Spain",2,1,1,1,€ 255 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
oasis,"Entire loft in Torrelles de Llobregat, Spain",4,1,Not specified,1,€ 200 ,Hosted by José Andrés,9 months hosting
Large and cozy house in Badalona downtown 170m2,"Entire home in Badalona, Spain",9,5,5,4,€ 289 ,Hosted by Maya,11 years hosting
Apartment with Terrace ApartHotel Centric,"Entire rental unit in Castelldefels, Spain",3,Not specified,2,1,€ 190 ,Hosted by Centric,3 years hosting
Sant Père Best room five,"Room in Barcelona, Spain",Not specified,1,Not specified,Shared,€ 140 ,Hosted by Jordi Pier,6 months hosting
<centric double room> 5 mins metro 10 mins Ramblas,"Private room in condo in Barcelona, Spain",2,Not specified,1,1,€ 108 ,Hosted by Simocry,5 years hosting
1 bed in a 6-bed mixed dorm at Sleep Green Y.H,"Room in Barcelona, Spain",Not specified,Not specified,3,4,€ 84 ,Hosted by Alvand,8 years hosting
Interior Double Room Single Use,"Room in boutique hotel in Barcelona, Spain",1,1,1,1,€ 224 ,Hosted by Hotel Transit Barcelona,4 years hosting
Gran Vía Corts double Room one,"Room in Barcelona, Spain",Not specified,1,Not specified,Shared,€ 154 ,Hosted by Roberto,3 years hosting
Olala Port Forum Superior Apartment with Balcony,"Entire rental unit in Sant Adria de Besós, Spain",6,2,3,2,€ 406 ,Hosted by Olala Homes,7 years hosting
Double room in a Mountain House,"Room in Vilassar de Dalt, Spain",Not specified,Not specified,1,Shared,€ 68 ,Hosted by Paula Alicia,3 years hosting
"Private apartment in luxury chalet, pets ok","Entire rental unit in Matadepera, Spain",3,1,2,1,€ 95 ,Hosted by Tessa,9 years hosting
"303 ""Refined Flat"" connected with Airport&Downtown","Entire rental unit in L'Hospitalet de Llobregat, Spain",4,1,Not specified,1,€ 180 ,Hosted by Carlos,5 years hosting
Private room with private bathroom in Europa Fira,"Room in L'Hospitalet de Llobregat, Spain",Not specified,Not specified,1,Private,€ 209 ,Stay with Elias,8 years hosting
House in Cabrera to spend some wonderful days.,"Entire townhouse in Cabrera de Mar, Spain",6,3,5,2.5,€ 272 ,Hosted by Victoria,2 years hosting
"House with garden, pool next to a forest.","Entire home in Can Rovira, Spain",6,4,4,2,€ 220 ,Hosted by Elisabet,2 years hosting
ROOM IN RUSTIC HOUSE NEAR BARCELONA,"Room in Ullastrell, Spain",Not specified,Not specified,1,Shared,€ 30 ,Stay with Mar,4 years hosting
Quiet guesthouse in Cabrils,"Entire guesthouse in Cabrils, Spain",4,1,2,1,€ 110 ,Hosted by Tomas,7 years hosting
The vitalist island pool & metro BCN,"Room in Terrassa, Spain",Not specified,2,Not specified,Private,€ 71 ,Stay with Jep,11 years hosting
2br apart.near Barcelona.Beach.up to 5pax,"Entire rental unit in Castelldefels, Spain",5,2,4,1,€ 182 ,Hosted by Eliseo,13 years hosting
Sant Pere Best double Room for,"Room in Barcelona, Spain",Not specified,1,Not specified,Shared,€ 135 ,Hosted by Jordi Pier,6 months hosting
Penthouse Duplex with Epic Views,"Entire rental unit in Barcelona, Spain",8,4,Not specified,3,"€ 1,003 ",Hosted by Tamirlan,8 years hosting
Villa Castillo,"Entire home in Sant Cugat del Vallès, Spain",8,4,7,2,€ 315 ,Hosted by Manel, · 9 years hosting
31mall808- Newly refurbished 2br flat in the cente,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Villa just 30km from Barcelona,"Entire chalet in Cabrils, Spain",8,4,6,3,€ 350 ,Hosted by Meri, · 6 years hosting
Castillo de Meng,"Castle in Cabrils, Spain",16+,10,14,8.5,"€ 1,886 ",Hosted by Marta And Emanuele, · 12 years hosting
12fh - Beautiful 1BR flat,"Entire rental unit in Barcelona, Spain",2,1,1,1,€ 575 ,Hosted by Mercantil Brescia, · 2 months hosting
Magnificent boat,"Boat in Sant Adrià de Besòs, Spain",4,1,2,1.5,€ 180 ,Hosted by Adrian,2 years hosting
The vitalist island pool & metro BCN,"Room in Terrassa, Spain",Not specified,2,Not specified,Private,€ 71 ,Stay with Jep,11 years hosting
Room close to La Fira de Barcelona,"Room in L'Hospitalet de Llobregat, Spain",Not specified,Not specified,1,Shared,€ 200 ,Hosted by Juan Manuel,3 years hosting
Catalonia Paradise,"Entire cabin in Sant Cugat del Vallès, Spain",6,3,3,2,€ 350 ,Hosted by Maria Luisa,4 years hosting
"ar5 Great 1 bedroom apartment terrace, Born center","Entire rental unit in Barcelona, Spain",3,1,3,1,€ 323 ,Hosted by Acomodis Apartments,12 years hosting
Rent boat in Barcelona,"Boat in Barcelona, Spain",4,2,2,3,€ 145 ,Hosted by Federico B., · 5 years hosting
GOOD APARTMENT GRAN VIA,"Entire rental unit in Barcelona, Spain",5,3,4,1,€ 249 ,Hosted by Fernando,5 years hosting
Yacht with large sun deck in Barcelona,"Boat in Sant Adrià de Besòs, Spain",5,2,3,2,€ 342 ,Hosted by Pether,4 years hosting
pr1mall820,"Entire rental unit in Barcelona, Spain",4,2,Not specified,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
VW Kombi T2 Westfalia campervan in Barcelona,"Camper/RV in L'Hospitalet de Llobregat, Spain",2,Not specified,1,Half-bath,€ 91 ,Hosted by Advantura, · 5 years hosting
Luxury floor,"Room in Barcelona, Spain",Not specified,Not specified,1,Private,€ 170 ,Stay with Marali,1 month hosting
61par-Super Centric & bright 2BR flat,"Entire rental unit in Barcelona, Spain",4,2,3,1,"€ 1,500 ",Hosted by Loca Bcn, · 11 years hosting
Diagonal individual,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,Price not specified,Hosted by Josiane, · 11 years hosting
Mountain house room 2 people,"Room in Vilassar de Dalt, Spain",Not specified,Not specified,1,Shared,€ 62 ,Stay with Paula Alicia,3 years hosting
14mall803,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Entlo2mall817,"Entire rental unit in Barcelona, Spain",4,2,Not specified,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
44mall815- Bright 2br apartment,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
CAN JULIÀ APARTMENT IN A NATURAL SETTING,"Entire condo in Sant Esteve Sesrovires, Spain",4,2,4,2,€ 168 ,Hosted by Pere Anton,3 years hosting
Diagonal individual,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,Price not specified,Hosted by Josiane,3 years hosting
Awesome loft close to airport,"Entire loft in Cornellà de Llobregat, Spain",2,2,2,1,€ 332 ,Hosted by Andrés,8 years hosting
vill311 Great 3 bedr flat 2 bathr next city center,"Entire rental unit in Barcelona, Spain",5,Not specified,Not specified,0,€ 468 ,Hosted by Acomodis Apartments,12 years hosting
Sacred Family Room,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 126 ,Stay with Luis,6 years hosting
VILLA NEAR THE BEACH,"Entire home in Alella, Spain",6,3,3,2.5,€ 450 ,Hosted by Begoña,6 years hosting
Stylish rooms and shared guest terrace,"Room in hotel in Barcelona, Spain",2,1,Not specified,1,€ 388 ,Hosted by Vincci Gala,6 years hosting
Basse Home,"Entire rental unit in Montcada i Reixac, Spain",9,4,Not specified,2.5,€ 186 ,Hosted by 宝来,5 years hosting
"ROOM NUMBER 1, NEAR CAMP NOU","Room in L'Hospitalet de Llobregat, Spain",Not specified,Not specified,1,Shared,€ 80 ,Hosted by Juan Carlos,6 years hosting
Cuatro Torres,"Luxury stay in Alella, Catalunya, Spain",Not specified,Not specified,Not specified,Not specified,"€ 1,786 ",Host name not specified,6 years hosting
Twin room with sofa bed,"Room in hotel in Barcelona, Spain",3,1,3,1,€ 299 ,Hosted by SmartRoom,6 years hosting
Mountain house room 2 people,"Room in Vilassar de Dalt, Spain",Not specified,Not specified,1,Shared,€ 62 ,Stay with Paula Alicia,3 years hosting
Vista Alegre Esquina,"Entire home in Vallromanes, Spain",6,2,5,1,€ 213 ,Hosted by My Grupdor SL,9 months hosting
Axel Premium Superior - 2 Pax,"Room in hotel in Barcelona, Spain",2,1,1,1,€ 280 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
Amazing 4 bedroom vila with pool,"Entire villa in Alella Parc, Spain",10,4,Not specified,3.5,€ 931 ,Hosted by Pat,2 years hosting
Vista Alegre Esquina,"Entire home in Vallromanes, Spain",6,2,5,1,€ 213 ,Hosted by My Grupdor SL,9 months hosting
sf42 Nice 2 bedroom apartment Sagrada Familia,"Entire rental unit in Barcelona, Spain",5,2,2,1,€ 310 ,Hosted by Acomodis Apartments,12 years hosting
Mountain house room 2 people,"Room in Vilassar de Dalt, Spain",Not specified,Not specified,1,Shared,€ 62 ,Stay with Paula Alicia,3 years hosting
11mall800- Big & Bright 2br Apartment,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
pr2mall821- Magnific 2BR Flat,"Entire rental unit in Barcelona, Spain",4,2,Not specified,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Stylish rooms and shared guest terrace,"Room in hotel in Barcelona, Spain",2,1,Not specified,1,€ 388 ,Hosted by Vincci Gala, · 2 months hosting
BJ2FH- Espectacular 1BR FLat,"Entire rental unit in Barcelona, Spain",2,1,1,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Axel Premium with Breakfasts - 2 Pax,"Room in hotel in Barcelona, Spain",2,1,1,1,€ 285 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
"fnt3 Duplex apartment, old factory building 5 bed","Entire rental unit in Barcelona, Spain",6,2,5,1,€ 302 ,Hosted by Acomodis Apartments,12 years hosting
pdo5 Nice in Barcelona Acomodis experience Gothic!,"Entire rental unit in Barcelona, Spain",6,2,3,1,€ 388 ,Hosted by Acomodis Apartments,12 years hosting
"fdl4 Stay in Barcelona! El Born, old town, center!","Entire rental unit in Barcelona, Spain",6,3,4,1,€ 368 ,Hosted by Acomodis Apartments,12 years hosting
Villa Diego Playa,"Room in Badalona, Spain",Not specified,Not specified,1,Dedicated,€ 128 ,Stay with Diego,2 months hosting
Cute House,"Room in Badalona, Spain",Not specified,Not specified,1,Shared,€ 154 ,Stay with Marc,8 years hosting
Diagonal Mar triple,"Entire rental unit in Barcelona, Spain",3,2,Not specified,Half-bath,€ 315 ,Hosted by Adolfa,4 months hosting
Prime location by the beach,"Room in Barcelona, Spain",Not specified,Not specified,1,Dedicated,€ 180 ,Stay with Simocry,5 years hosting
ROOM IN RUSTIC HOUSE NEAR BARCELONA,"Room in Ullastrell, Spain",Not specified,Not specified,1,Shared,€ 30 ,Stay with Mar,4 years hosting
Open apartment with patio,"Entire condo in Matadepera, Spain",4,1,4,1.5,€ 108 ,Hosted by Tessa,9 years hosting
120-meter apartment apartment with swimming pool and parking.,"Room in Sant Boi de Llobregat, Spain",Not specified,3,3,Dedicated,€ 143 ,Hosted by Jose,7 years hosting
Chalet de Carmen,"Entire chalet in Castelldefels, Spain",6,4,6,2.5,€ 405 ,Hosted by Maria Carmen,5 months hosting
120-meter apartment apartment with swimming pool and parking.,"Room in Sant Boi de Llobregat, Spain",Not specified,3,3,Dedicated,€ 143 ,Hosted by Jose,7 years hosting
ROOM IN RUSTIC HOUSE NEAR BARCELONA,"Room in Ullastrell, Spain",Not specified,Not specified,1,Shared,€ 30 ,Stay with Mar,4 years hosting
pdo2 Nice stay Barcelona Gothic quarter old town!,"Entire rental unit in Barcelona, Spain",6,2,4,1,€ 325 ,Hosted by Acomodis Apartments,12 years hosting
Large charming space in a modernist house,"Room in Sant Cugat del Vallès, Spain",Not specified,5,1,Shared,€ 114 ,Hosted by Ana,9 years hosting
Doble al mar con acceso al SPA,"Room in hotel in Badalona, Spain",2,1,1,1,€ 286 ,Hosted by Hotel Marina, · 1 year hosting
Entlo3mall818,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
32mall809- Bright & Big 2br apartment in the cente,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
33mall810- Big 2br apartment near Sagrada Familia,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Entlo1FH- Magnific 1BR Flat,"Entire rental unit in Barcelona, Spain",2,1,1,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Villa Seaview Can Texido,"Entire villa in Alella, Spain",10,5,11,3.5,Price not specified,Hosted by Delong,6 years hosting
Room Privilege SPA ACCESS,"Room in hotel in Badalona, Spain",2,1,1,1,€ 331 ,Hosted by Hotel Marina, · 1 year hosting
House with garden and pool near Barcelona,"Entire home in El Masnou, Spain",7,4,Not specified,3,€ 406 ,Hosted by Josep Manel,2 years hosting
<centric double room> 5 mins metro 10 mins Ramblas,"Private room in condo in Barcelona, Spain",2,Not specified,1,1,€ 108 ,Hosted by Simocry,5 years hosting
"Steps from the Gothic Qtr, Cathedral & Port Vell","Room in hotel in Barcelona, Spain",2,1,Not specified,1,€ 279 ,Hosted by Ramblas Hotel Powered By Vincc,5 years hosting
Axel Premium Superior with Breakfasts - 1 Pax,"Room in hotel in Barcelona, Spain",1,1,1,1,€ 295 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
Appart4you bella vista,"Room in Castelldefels, Spain",Not specified,3,5,Dedicated,€ 250 ,Stay with Kirenia,2 years hosting
villh3b1 Great 6 bedr groupflat next city center,"Entire rental unit in Barcelona, Spain",10,6,8,2,"€ 1,005 ",Hosted by Acomodis Apartments,12 years hosting
41par- Spacious and bright,"Entire rental unit in Barcelona, Spain",3,2,2,1,"€ 1,350 ",Hosted by Loca Bcn, · 11 years hosting
"Lovely, comfortable,central.Parking","Entire loft in Barcelona, Spain",2,1,1,1.5,€ 291 ,Hosted by Joana,11 years hosting
"Boudoir BDSM Dungeon & Prison 150sqm, Sex Swinger","Entire rental unit in L'Hospitalet de Llobregat, Spain",2,1,Not specified,1,€ 315 ,Hosted by Lucian Ioan,9 months hosting
ob22 Great 2 bedroom apartment close Las Ramblas,"Entire rental unit in Barcelona, Spain",5,2,5,1,€ 310 ,Hosted by Acomodis Apartments,12 years hosting
Casa Aviva,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,Price not specified,Stay with Irene,2 months hosting
pdo7 Acomodis apartments right in the Gothic area!,"Entire rental unit in Barcelona, Spain",6,2,3,1,€ 386 ,Hosted by Acomodis Apartments,12 years hosting
Casa Nova Estate,"Luxury stay in Parc Natural del Garraf, Sitges, Barcelona, Spain",Not specified,Not specified,Not specified,Not specified,"€ 4,427 ",Host name not specified,12 years hosting
