Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Cozy Private Bedroom Upstairs,"Room in Hacienda Heights, California, United States",1 bed ·  · Shared bathroom,€ 33 ,Hosted by David,8 months hosting,Not guest favourite,Not guest favourite
Studio ~ Arts District Downtown,"Entire rental unit in Vernon, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 99 ,Hosted by Monthier,9 years hosting,Not guest favourite,Not guest favourite
Julissa's Guest House in Downey!!!!,"Private room in guesthouse in Downey, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 56 ,Hosted by Ursula,5 years hosting,Not guest favourite,Not guest favourite
Sonder Lüm | Double Full Room,"Room in boutique hotel in Inglewood, California, United States",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 101 ,Hosted by Sonder (Los Angeles),3 years hosting,Not guest favourite,Not guest favourite
2block from beach-Historic Bungalow discount/month,"Entire bungalow in Redondo Beach, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 154 ,Hosted by Omar & Kristina, · 13 years hosting,Not guest favourite,Not guest favourite
Burbank home close to the studios,"Room in Burbank, California, United States",1 queen bed ·  · Shared bathroom,€ 66 ,Hosted by Cynthia, · 7 years hosting,Not guest favourite,Not guest favourite
MidCity Private Room & Bath 4_6,"Room in Culver City, California, United States",1 bedroom ·  · Private attached bathroom,€ 54 ,Hosted by Kyusan, · 7 years hosting,Not guest favourite,Not guest favourite
Luxury 1br apartment in Korea Town,"Entire rental unit in West Hollywood, California, United States",3 guests ·  · 1 bedroom ·  · 1 bath,€ 164 ,Hosted by Nova, · 11 months hosting,Not guest favourite,Not guest favourite
"Private 1 Room Home,San Gabriel,near Pasadena","Entire home in San Gabriel, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 80 ,Hosted by Gavin, · 2 years hosting,Not guest favourite,Not guest favourite
Wendy's Cozy House 1,"Room in West Covina, California, United States",1 queen bed ·  · Dedicated bathroom,€ 38 ,Hosted by Li,5 years hosting,Not guest favourite,Not guest favourite
Opulent High Rise Apartment,"Entire rental unit in Glendale, California, United States",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 119 ,Hosted by Bee, · 4 years hosting,Not guest favourite,Not guest favourite
Warm Cottage Room7 Free parking in the yard,"Private room in home in Rosemead, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 shared bath,€ 39 ,Hosted by Athena,3 years hosting,Not guest favourite,Not guest favourite
Charming Hollywood ,"Entire rental unit in West Hollywood, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 167 ,Hosted by Eddie,7 years hosting,Not guest favourite,Not guest favourite
Prvt Rm/Bath French Retreat,"Room in La Crescenta-Montrose, California, United States",1 king bed ·  · Private attached bathroom,€ 46 ,Stay with Ruth,8 years hosting,Not guest favourite,Not guest favourite
Stay right by the Manhattan Beach Strand,"Entire rental unit in Manhattan Beach, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 129 ,Hosted by Eliza & Justin Of Orange Door Stays, · 9 years hosting,Not guest favourite,Not guest favourite
CA#6 Close to Long Beach 1b1b,"Entire rental unit in Carson, California, United States",3 guests ·  · 1 bedroom ·  · 1 bath,€ 101 ,Hosted by Wayne,6 years hosting,Not guest favourite,Not guest favourite
Renovated Studio Guesthouse,"Entire guesthouse in South Gate, California, United States",1 guest ·  · Studio ·  · 2 beds ·  · 1 bath,€ 71 ,Hosted by Joe,2 months hosting,Not guest favourite,Not guest favourite
Beautiful master bedroom in Melrose and Hollywood,"Room in Los Angeles, California, United States",1 bed ·  · Shared bathroom,€ 57 ,Hosted by Oleksandr,2 years hosting,Not guest favourite,Not guest favourite
Charming in-law house,"Entire home in Norwalk, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 60 ,Hosted by Iris, · 9 years hosting,Not guest favourite,Not guest favourite
The Metro Loft Getaway,"Entire rental unit in Huntington Park, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 89 ,Hosted by Bedream Management, · 10 months hosting,Not guest favourite,Not guest favourite
Tokyo Sleep pod in Living Room TOP BUNK,"Room in West Covina, California, United States",4 beds ·  · 1.5 shared bathrooms,€ 23 ,Hosted by Tom,4 years hosting,Not guest favourite,Not guest favourite
Hills Views Deck Modern LAHouse,"Entire home in Los Angeles, California, United States",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 2 baths,€ 242 ,Hosted by Rez,3 years hosting,Not guest favourite,Not guest favourite
Private Room & Bath Co-living Nr. Culver City,"Private room in townhouse in Los Angeles, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 73 ,Hosted by Just Bring Your Toothbrush,6 years hosting,Not guest favourite,Not guest favourite
CA#6 Close to Long Beach 1b1b,"Entire rental unit in Carson, California, United States",3 guests ·  · 1 bedroom ·  · 1 bath,€ 101 ,Hosted by Wayne,6 years hosting,Not guest favourite,Not guest favourite
Sonder Lüm | Double Full Room,"Room in boutique hotel in Inglewood, California, United States",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 101 ,Hosted by Sonder (Los Angeles),3 years hosting,Not guest favourite,Not guest favourite
cc. KOREATOWn LA Private Room,"Room in Los Angeles, California, United States",1 bed ·  · Shared bathroom,€ 44 ,Hosted by Serge,11 months hosting,Not guest favourite,Not guest favourite
The Metro Loft Getaway,"Entire rental unit in Huntington Park, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 89 ,Hosted by Bedream Management, · 10 months hosting,Not guest favourite,Not guest favourite
#11 Couples Getaway NearSofi LAX Cal KingBed,"Entire rental unit in Hawthorne, California, United States",3 guests ·  · 1 bedroom ·  · 1 bath,€ 89 ,Hosted by Christian,2 years hosting,Not guest favourite,Not guest favourite
Dazzling Getaway Near Disney,"Entire home in Downey, California, United States",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 111 ,Hosted by Marlyn,2 months hosting,Not guest favourite,Not guest favourite
Modern 2BR Oasis: Near Culver City & LAX | Hot Tub,"Entire rental unit in Los Angeles, California, United States",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 161 ,Hosted by Charie,3 years hosting,Not guest favourite,Not guest favourite
Newly Renovated Bdm nr BCH/LAX w/Separate Entrance,"Room in Redondo Beach, California, United States",1 bed ·  · Shared bathroom,€ 84 ,Hosted by Laura, · 7 years hosting,4.98,42
"Studio Home - Private Entrance, Kitchen & Parking","Entire home in Lomita, California, United States",2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 107 ,Hosted by Veronica, · 8 years hosting,5.0,72
Private room with desk near LGB,"Room in Long Beach, California, United States",1 queen bed ·  · Shared bathroom,€ 57 ,Hosted by Elena, · 2 months hosting,Not guest favourite,Not guest favourite
Redondo Beach Private Studio and Entrance.,"Entire guest suite in Redondo Beach, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 132 ,Hosted by Monica, · 5 years hosting,4.93,111
Jackson's Koi Pond Studio,"Entire guesthouse in Culver City, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 236 ,Hosted by Fawaz, · 5 years hosting,4.94,69
Resort-Style Suite with Fantastic Views near DTLA,"Entire condo in Monterey Park, California, United States",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1.5 baths,€ 181 ,Hosted by Flo, · 2 years hosting,5.0,71
Modern Guest home near LA/Disney,"Entire guesthouse in Whittier, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 111 ,Hosted by Norma, · 2 years hosting,4.98,46
Private bedroom in a family home,"Room in Los Angeles, California, United States",1 king bed ·  · Private attached bathroom,€ 76 ,Hosted by Amelia, · 5 years hosting,5.0,7
Beautiful Beach Cozy Studio: Deck-Spa-Park-Laundry,"Entire home in Redondo Beach, California, United States",1 guest ·  · Studio ·  · 2 beds ·  · 1 bath,€ 118 ,Hosted by Katherine, · 7 years hosting,4.87,142
Whittier Springs Stay,"Entire home in Whittier, California, United States",8 guests ·  · 3 bedrooms ·  · 4 beds ·  · 2 baths,€ 292 ,Hosted by Violet,5 years hosting,5.0,8
Beach Front - Stunning Cozy & unique Studio Apt,"Entire rental unit in Long Beach, California, United States",3 guests ·  · Studio ·  · 1 bath,€ 146 ,Hosted by Long Beach,5 months hosting,Not guest favourite,Not guest favourite
Pasadena Modern Ins-Style 2B house  Caltech/HRC,"Entire home in Pasadena, California, United States",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 181 ,Hosted by Carina, · 7 years hosting,4.96,104
Modern guesthouse near LAX/SoFi stadium/Intuit,"Entire guesthouse in Inglewood, California, United States",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 127 ,Hosted by Reyna,1 month hosting,Not guest favourite,Not guest favourite
Beautiful Beach Cozy Studio: Deck-Spa-Park-Laundry,"Entire home in Redondo Beach, California, United States",1 guest ·  · Studio ·  · 2 beds ·  · 1 bath,€ 118 ,Hosted by Katherine, · 7 years hosting,4.87,142
"cheerful, quiet and lovely 1 bedroom house","Entire home in Los Angeles, California, United States",2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 278 ,Hosted by Bryan, · 10 years hosting,4.93,14
Blair | Brand New Cozy Modern Oasis w/ King Bed,"Entire rental unit in Irvine, California, United States",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 181 ,Hosted by Brandon, · 4 years hosting,4.94,17
Room Walking distance from CSUDH/Dignity Sports,"Room in Carson, California, United States",1 queen bed ·  · Shared bathroom,€ 65 ,Stay with Mary Anne,3 months hosting,4.83,6
Luxury apartment Hollywood,"Entire rental unit in Vernon, California, United States",2 guests ·  · 1 bedroom ·  · 1 bath,€ 168 ,Hosted by Matheus,1 month hosting,Not guest favourite,Not guest favourite
Private bedroom in a family home,"Room in Los Angeles, California, United States",1 king bed ·  · Private attached bathroom,€ 76 ,Hosted by Amelia, · 5 years hosting,5.0,7
Welcome to the bedroom in a secluded paradise!,"Room in Los Angeles, California, United States",1 bedroom ·  · Private attached bathroom,€ 84 ,Hosted by Virginia, · 2 years hosting,4.97,34
"Luxury 1bd, poolview/spa/gym/parking, A+ location","Entire rental unit in Marina del Rey, California, United States",4 guests ·  · 1 bedroom ·  · 1 bath,€ 182 ,Hosted by Lynda, · 1 year hosting,5.0,5
Relax & Revive 25 mins 2 Disney 420 friendly patio,"Entire guest suite in Whittier, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 81 ,Hosted by Arlene, · 5 years hosting,Not guest favourite,Not guest favourite
Near the beach in Redondo Beach,"Room in Redondo Beach, California, United States",1 queen bed ·  · Dedicated bathroom,€ 102 ,Stay with Monica,3 months hosting,Not guest favourite,Not guest favourite
Malibu Mountain Top View Retreat | By Summer,"Entire home in Topanga, California, United States",8 guests ·  · 3 bedrooms ·  · 4 beds ·  · 3 baths,€ 443 ,Hosted by Summer, · 2 years hosting,Not guest favourite,Not guest favourite
Cozy boho 1 BR- 10 min from LB airport,"Entire rental unit in Long Beach, California, United States",2 guests ·  · 1 bedroom ·  · 1 bath,€ 132 ,Hosted by Nina, · 2 years hosting,Not guest favourite,Not guest favourite
Chic Fireside Retreat,"Room in Pasadena, California, United States",1 bedroom ·  · Private attached bathroom,€ 96 ,Stay with Valerie, · 2 months hosting,Not guest favourite,Not guest favourite
Rustic 3 BR In The Heart Of Silver Lake,"Entire home in Los Angeles, California, United States",6 guests ·  · 3 bedrooms ·  · 3 beds ·  · 3 baths,Price not specified,Hosted by Daria, · 2 months hosting,Not guest favourite,Not guest favourite
1 BR/1BA Apt in Central Gardena,"Entire rental unit in Gardena, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 99 ,Hosted by Krystal,2 years hosting,5.0,5
Relax & Revive 25 mins 2 Disney 420 friendly patio,"Entire guest suite in Whittier, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 81 ,Hosted by Arlene, · 5 years hosting,Not guest favourite,Not guest favourite
Near the beach in Redondo Beach,"Room in Redondo Beach, California, United States",1 queen bed ·  · Dedicated bathroom,€ 102 ,Stay with Monica,3 months hosting,Not guest favourite,Not guest favourite
Big cozy 3bd house at the beach Downtown HB w/deck,"Entire home in Huntington Beach, California, United States",8 guests ·  · 3 bedrooms ·  · 3 beds ·  · 2.5 baths,€ 284 ,Hosted by Rita, · 6 years hosting,Not guest favourite,Not guest favourite
Private bedroom in a family home,"Room in Los Angeles, California, United States",1 king bed ·  · Private attached bathroom,€ 76 ,Hosted by Amelia, · 5 years hosting,5.0,7
1BR + 1BA + Balcony + walk-in Closet Brentwood/ SM,"Entire condo in Santa Monica, California, United States",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 235 ,Hosted by Sina, · 4 years hosting,Not guest favourite,Not guest favourite
Modern Spanish Pool Home Oasis,"Entire home in Los Angeles, California, United States",8 guests ·  · 4 bedrooms ·  · 4 beds ·  · 2 baths,€ 414 ,Hosted by Arthur, · 8 months hosting,4.96,28
Premier Room with bath,"Room in Pasadena, California, United States",1 bedroom ·  · Private attached bathroom,€ 90 ,Stay with Valerie, · 2 months hosting,5.0,8
