Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
"lovely! 2 terraces, sun,  Lagos, pine, beach","Entire condo in Castelldefels, Spain",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 120 ,Hosted by Isa  Y Juan,10 years hosting,Not guest favourite,Not guest favourite
Room with private bathroom in Barcelona Sabadell,"Room in Sabadell, Spain",1 bedroom ·  · Private attached half bathroom,€ 39 ,Hosted by Juan Manuel,1 year hosting,Not guest favourite,Not guest favourite
Can Macia 2,"Room in La Roca del Vallès, Spain",1 double bed ·  · Shared bathroom,€ 37 ,Hosted by Pepa,9 months hosting,Not guest favourite,Not guest favourite
Sonder Paseo de Gracia | King Room w/ Balcony,"Room in boutique hotel in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 shared bath,€ 384 ,Hosted by Sonder (Barcelona),3 years hosting,4.97,33
Villa Turquoise,"Entire villa in El Masnou, Spain",8 guests ·  · 5 bedrooms ·  · 5 beds ·  · 3 baths,€ 635 ,Hosted by Claire,2 years hosting,5.0,13
Barcelona C. de Fontcoberta | Twin Room,"Entire rental unit in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 183 ,Hosted by Limehome,2 years hosting,Not guest favourite,Not guest favourite
Montmelo single room,"Room in Montmeló, Spain",1 single bed ·  · Shared bathroom,€ 53 ,Stay with Mohamed,1 year hosting,Not guest favourite,Not guest favourite
Vista Allegre: Family villa nestled in nature,"Entire villa in Sant Cugat del Vallès, Spain",10 guests ·  · 5 bedrooms ·  · 5 beds ·  · 4.5 baths,€ 210 ,Hosted by Marc,2 years hosting,4.90,10
"Private room near Roca village, Costa","Room in la Barriada Nova, Spain",1 bedroom ·  · Shared bathroom,€ 43 ,Hosted by Claudia,2 years hosting,Not guest favourite,Not guest favourite
DoubleRoom w/ Private Bathroom,"Room in Vilassar de Mar, Spain",1 bed ·  · Private attached bathroom,€ 62 ,Stay with Denis,2 years hosting,Not guest favourite,Not guest favourite
Casita rural remanso de paz.,"Barn in Vilanova del Vallès, Spain",4 guests ·  · 1 bedroom ·  · 1 bath,€ 95 ,Hosted by Paco,1 year hosting,Not guest favourite,Not guest favourite
Sa casa sana an apartment in an idyllic space.,"Entire guesthouse in La Roca del Vallès, Spain",3 guests ·  · 1 bedroom ·  · 4 beds ·  · 1 bath,€ 86 ,Hosted by Maria Teresa, · 5 years hosting,Not guest favourite,Not guest favourite
inspiring mediterranean house,"Entire home in El Masnou, Spain",3 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1.5 baths,€ 143 ,Hosted by Sandra,11 years hosting,4.79,47
AS3 Small room for 1!,"Room in Barcelona, Spain",1 single bed ·  · Shared bathroom,€ 97 ,Hosted by Artur,2 years hosting,Not guest favourite,Not guest favourite
limehome Barcelona Besalú Hotel|DoubleRoom+Balcony,"Room in hotel in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 220 ,Hosted by Limehome,2 years hosting,Not guest favourite,Not guest favourite
"Salles Pere IV, Double Deluxe Room","Room in boutique hotel in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 267 ,Hosted by Salles Pere IV,5 years hosting,Not guest favourite,Not guest favourite
inspiring mediterranean house,"Entire home in El Masnou, Spain",3 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1.5 baths,€ 143 ,Hosted by Sandra,11 years hosting,4.79,47
"Single room H3, house 25"" from Barcelona","Room in Cabrils, Spain",1 single bed ·  · Dedicated bathroom,€ 72 ,Stay with Silvia, · 1 year hosting,Not guest favourite,Not guest favourite
"Modern art-laden, museum-hotel vibe","Room in hotel in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 private bath,€ 218 ,Hosted by Vincci Bit, · 1 year hosting,Not guest favourite,Not guest favourite
Oasis in Sant Adrià,"Room in Sant Adrià de Besòs, Spain",2 bedrooms ·  · 2 beds ·  · Shared bathroom,€ 106 ,Stay with Angel,7 years hosting,Not guest favourite,Not guest favourite
Bright Room Circuit de Catalunya,"Room in La Roca del Vallès, Spain",1 single bed ·  · Shared bathroom,€ 52 ,Stay with Maria,2 years hosting,Not guest favourite,Not guest favourite
Bright Double Room Circuit de Catalunya,"Room in La Roca del Vallès, Spain",1 double bed ·  · Shared bathroom,€ 55 ,Stay with Maria,2 years hosting,Not guest favourite,Not guest favourite
Magnificent house next to the beach.,"Entire home in Castelldefels, Spain",8 guests ·  · 4 bedrooms ·  · 5 beds ·  · 3 baths,€ 400 ,Hosted by Holiday Castelldefels,7 years hosting,Not guest favourite,Not guest favourite
Traveler's House (1920 Modernist-style rooms),"Room in Terrassa, Spain",1 bedroom ·  · Shared bathroom,€ 66 ,Stay with David,4 years hosting,Not guest favourite,Not guest favourite
Bedroom Sagrada Familia,"Room in Barcelona, Spain",1 bedroom ·  · Shared bathroom,€ 145 ,Hosted by Jordi,6 years hosting,Not guest favourite,Not guest favourite
"The Florete little house Romantic.","Room in Vilassar de Dalt, Spain",1 double bed ·  · Private attached bathroom,€ 80 ,Stay with Ariana, · 4 years hosting,Not guest favourite,Not guest favourite
Double Room Near the center,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,€ 110 ,Hosted by Lucia,2 years hosting,Not guest favourite,Not guest favourite
Double bed - Best location BCN,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,€ 94 ,Hosted by Welcome,8 years hosting,Not guest favourite,Not guest favourite
Lovely bedroom rental with patio,"Room in Premià de Mar, Spain",2 bedrooms ·  · Shared bathroom,€ 55 ,Stay with Miriam,1 year hosting,Not guest favourite,Not guest favourite
1 bed in a 8-bed mixed dorm at ACYHostel,"Room in Barcelona, Spain",4 bunk beds ·  · 3 shared bathrooms,€ 75 ,Hosted by Alvand,8 years hosting,Not guest favourite,Not guest favourite
Fantastic house with pool 5 min walk to the sea,"Entire home in Gavà, Spain",6 guests ·  · 3 bedrooms ·  · 3 beds ·  · 2 baths,€ 431 ,Hosted by Marie, · 8 years hosting,5.0,10
Romantic Room Quiet and spacious.,"Room in Sant Feliu de Llobregat, Spain",1 double bed ·  · Shared bathroom,€ 71 ,Stay with Cecilia,8 months hosting,Not guest favourite,Not guest favourite
Private room in countryhouse- Room 2,"Room in Torrelles de Llobregat, Spain",1 bedroom ·  · Shared half bathroom,€ 90 ,Stay with Martin,1 year hosting,Not guest favourite,Not guest favourite
Shared room 3,"Room in Terrassa, Spain",1 single bed ·  · 1.5 shared bathrooms,€ 25 ,Hosted by José Manuel,8 years hosting,Not guest favourite,Not guest favourite
Rustic double room.,"Room in Mollet del Vallès, Spain",1 bedroom ·  · Shared bathroom,€ 71 ,Stay with Sara,2 years hosting,Not guest favourite,Not guest favourite
Single Room with shared bathroom,"Room in hotel in Barcelona, Spain",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 shared bath,€ 163 ,Hosted by Free Hostels,10 years hosting,Not guest favourite,Not guest favourite
Room is rented per night.,"Room in Gavà, Spain",1 bed ·  · Shared bathroom,€ 62 ,Stay with Erica,2 months hosting,Not guest favourite,Not guest favourite
Happy hosting,"Private room in home in Sant Feliu de Llobregat, Spain",2 guests ·  · 1 bedroom ·  · 1 bath,€ 65 ,Hosted by Jansel,6 months hosting,Not guest favourite,Not guest favourite
Charming renovated townhouse,"Entire home in Vilassar de Dalt, Spain",6 guests ·  · 3 bedrooms ·  · 4 beds ·  · 2 baths,€ 210 ,Hosted by Adrià And Manuel, · 7 years hosting,Not guest favourite,Not guest favourite
2br apart.near Barcelona.Beach.up to 5pax,"Entire rental unit in Castelldefels, Spain",5 guests ·  · 2 bedrooms ·  · 4 beds ·  · 1 bath,€ 182 ,Hosted by Eliseo,13 years hosting,Not guest favourite,Not guest favourite
Light and cosy room,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,€ 80 ,Hosted by Christophe,2 years hosting,Not guest favourite,Not guest favourite
DoubleRoom w/ Private Bathroom,"Room in Vilassar de Mar, Spain",1 bed ·  · Private attached bathroom,€ 62 ,Stay with Denis,2 years hosting,Not guest favourite,Not guest favourite
room,"Room in Cerdanyola del Vallès, Spain",2 bedrooms ·  · 3 beds ·  · Dedicated bathroom,Price not specified,Hosted by Laura,2 years hosting,Not guest favourite,Not guest favourite
Shared room 4,"Room in Terrassa, Spain",1 single bed ·  · 1.5 shared bathrooms,€ 27 ,Hosted by José Manuel,8 years hosting,Not guest favourite,Not guest favourite
Diagonal individual,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,Price not specified,Hosted by Josiane,8 years hosting,Not guest favourite,Not guest favourite
Barcelona Room - Eixample,"Room in Barcelona, Spain",1 bedroom ·  · Shared bathroom,€ 135 ,Stay with Gonzalo,10 months hosting,Not guest favourite,Not guest favourite
Gavà Mar- Villa Lujo 6 Pax,"Entire home in Gavà, Spain",6 guests ·  · 4 bedrooms ·  · 3.5 baths,€ 360 ,Hosted by Apartaments Lu Like Home Sl,5 years hosting,Not guest favourite,Not guest favourite
2br apart.near Barcelona.Beach.up to 5pax,"Entire rental unit in Castelldefels, Spain",5 guests ·  · 2 bedrooms ·  · 4 beds ·  · 1 bath,€ 182 ,Hosted by Eliseo,13 years hosting,4.79,39
For lovers of sun and tranquility,"Entire rental unit in Argentona, Spain",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 91 ,Hosted by Silvia,2 years hosting,Not guest favourite,Not guest favourite
"Nice house with garden, pool and ocean view","Entire home in Premià de Dalt, Spain",6 guests ·  · 3 bedrooms ·  · 5 beds ·  · 2 baths,€ 302 ,Hosted by David,2 years hosting,4.81,21
Axel City Doble - 2 Pax,"Room in hotel in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 240 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting,Not guest favourite,Not guest favourite
Privilege Room,"Room in hotel in Badalona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 287 ,Hosted by Hotel Marina, · 1 year hosting,Not guest favourite,Not guest favourite
"Small room, by the sea!!!","Room in El Masnou, Spain",1 single bed ·  · Shared bathroom,€ 100 ,Hosted by Alejandro,11 years hosting,Not guest favourite,Not guest favourite
Villa with pools 20 minutes from Barcelona,"Entire home in Cervelló, Spain",7 guests ·  · 3 bedrooms ·  · 5 beds ·  · 1.5 baths,€ 250 ,Hosted by Lea,5 years hosting,Not guest favourite,Not guest favourite
Axel City Double - 1 Pax,"Room in hotel in Barcelona, Spain",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 240 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting,Not guest favourite,Not guest favourite
Comfy double room with easy access to city centre,"Room in hotel in L'Hospitalet de Llobregat, Spain",2 guests ·  · 1 bedroom ·  · 1 private bath,€ 153 ,Hosted by Easyhotel Barcelona,1 month hosting,Not guest favourite,Not guest favourite
FULL HOUSE  GARDEN SWIMINGPOOL BEACH 20 MIN BCN,"Entire home in El Masnou, Spain",9 guests ·  · 5 bedrooms ·  · 5 beds ·  · 2 baths,€ 305 ,Hosted by Xavi,7 years hosting,Not guest favourite,Not guest favourite
Rent boat in Barcelona,"Boat in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 3 baths,€ 145 ,Hosted by Federico B., · 5 years hosting,Not guest favourite,Not guest favourite
"ROOM NUMBER 1, NEAR CAMP NOU","Room in L'Hospitalet de Llobregat, Spain",1 bed ·  · Shared bathroom,€ 80 ,Hosted by Juan Carlos,6 years hosting,Not guest favourite,Not guest favourite
Magnificent boat,"Boat in Sant Adrià de Besòs, Spain",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1.5 baths,€ 180 ,Hosted by Adrian,2 years hosting,Not guest favourite,Not guest favourite
room,"Room in Premià de Mar, Spain",1 small double bed ·  · Shared bathroom,€ 46 ,Hosted by Rosa,1 year hosting,Not guest favourite,Not guest favourite
"Private room, female only, free wifi , solo mujer","Private room in guesthouse in L'Hospitalet de Llobregat, Spain",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 shared bath,€ 69 ,Hosted by Abbady,5 years hosting,Not guest favourite,Not guest favourite
Mountain house room 2 people,"Room in Vilassar de Dalt, Spain",1 bunk bed ·  · Shared bathroom,€ 62 ,Stay with Paula Alicia,3 years hosting,Not guest favourite,Not guest favourite
Sacred Family Room,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,€ 126 ,Stay with Luis,6 years hosting,Not guest favourite,Not guest favourite
"Standard Double Room, Sea View","Room in hotel in Badalona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 242 ,Hosted by Hotel Marina, · 1 year hosting,Not guest favourite,Not guest favourite
Axel Premium - 2 Pax,"Room in hotel in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 255 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting,Not guest favourite,Not guest favourite
oasis,"Entire loft in Torrelles de Llobregat, Spain",4 guests ·  · 1 bedroom ·  · 1 bath,€ 200 ,Hosted by José Andrés,9 months hosting,Not guest favourite,Not guest favourite
Large and cozy house in Badalona downtown 170m2,"Entire home in Badalona, Spain",9 guests ·  · 5 bedrooms ·  · 5 beds ·  · 4 baths,€ 289 ,Hosted by Maya,11 years hosting,Not guest favourite,Not guest favourite
Apartment with Terrace ApartHotel Centric,"Entire rental unit in Castelldefels, Spain",3 guests ·  · Studio ·  · 2 beds ·  · 1 bath,€ 190 ,Hosted by Centric,3 years hosting,Not guest favourite,Not guest favourite
Sant Père Best room five,"Room in Barcelona, Spain",1 bedroom ·  · Shared bathroom,€ 140 ,Hosted by Jordi Pier,6 months hosting,Not guest favourite,Not guest favourite
<centric double room> 5 mins metro 10 mins Ramblas,"Private room in condo in Barcelona, Spain",2 guests ·  · Studio ·  · 1 bed ·  · 1 shared bath,€ 108 ,Hosted by Simocry,5 years hosting,Not guest favourite,Not guest favourite
1 bed in a 6-bed mixed dorm at Sleep Green Y.H,"Room in Barcelona, Spain",3 bunk beds ·  · 4 shared bathrooms,€ 84 ,Hosted by Alvand,8 years hosting,Not guest favourite,Not guest favourite
Interior Double Room Single Use,"Room in boutique hotel in Barcelona, Spain",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 224 ,Hosted by Hotel Transit Barcelona,4 years hosting,Not guest favourite,Not guest favourite
Gran Vía Corts double Room one,"Room in Barcelona, Spain",1 bedroom ·  · Shared bathroom,€ 154 ,Hosted by Roberto,3 years hosting,Not guest favourite,Not guest favourite
Olala Port Forum Superior Apartment with Balcony,"Entire rental unit in Sant Adria de Besós, Spain",6 guests ·  · 2 bedrooms ·  · 3 beds ·  · 2 baths,€ 406 ,Hosted by Olala Homes,7 years hosting,Not guest favourite,Not guest favourite
Double room in a Mountain House,"Room in Vilassar de Dalt, Spain",1 double bed ·  · Shared bathroom,€ 68 ,Hosted by Paula Alicia,3 years hosting,Not guest favourite,Not guest favourite
"Private apartment in luxury chalet, pets ok","Entire rental unit in Matadepera, Spain",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 95 ,Hosted by Tessa,9 years hosting,Not guest favourite,Not guest favourite
"303 ""Refined Flat"" connected with Airport&Downtown","Entire rental unit in L'Hospitalet de Llobregat, Spain",4 guests ·  · 1 bedroom ·  · 1 bath,€ 180 ,Hosted by Carlos,5 years hosting,Not guest favourite,Not guest favourite
Private room with private bathroom in Europa Fira,"Room in L'Hospitalet de Llobregat, Spain",1 queen bed ·  · Private attached bathroom,€ 209 ,Stay with Elias,8 years hosting,4.82,11
House in Cabrera to spend some wonderful days.,"Entire townhouse in Cabrera de Mar, Spain",6 guests ·  · 3 bedrooms ·  · 5 beds ·  · 2.5 baths,€ 272 ,Hosted by Victoria,2 years hosting,Not guest favourite,Not guest favourite
"House with garden, pool next to a forest.","Entire home in Can Rovira, Spain",6 guests ·  · 4 bedrooms ·  · 4 beds ·  · 2 baths,€ 220 ,Hosted by Elisabet,2 years hosting,5.0,11
ROOM IN RUSTIC HOUSE NEAR BARCELONA,"Room in Ullastrell, Spain",1 double bed ·  · Shared bathroom,€ 30 ,Stay with Mar,4 years hosting,Not guest favourite,Not guest favourite
Quiet guesthouse in Cabrils,"Entire guesthouse in Cabrils, Spain",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 110 ,Hosted by Tomas,7 years hosting,Not guest favourite,Not guest favourite
The vitalist island pool & metro BCN,"Room in Terrassa, Spain",2 bedrooms ·  · Private attached bathroom,€ 71 ,Stay with Jep,11 years hosting,Not guest favourite,Not guest favourite
2br apart.near Barcelona.Beach.up to 5pax,"Entire rental unit in Castelldefels, Spain",5 guests ·  · 2 bedrooms ·  · 4 beds ·  · 1 bath,€ 182 ,Hosted by Eliseo,13 years hosting,Not guest favourite,Not guest favourite
Sant Pere Best double Room for,"Room in Barcelona, Spain",1 bedroom ·  · Shared bathroom,€ 135 ,Hosted by Jordi Pier,6 months hosting,Not guest favourite,Not guest favourite
Penthouse Duplex with Epic Views,"Entire rental unit in Barcelona, Spain",8 guests ·  · 4 bedrooms ·  · 3 baths,"€ 1,003 ",Hosted by Tamirlan,8 years hosting,Not guest favourite,Not guest favourite
Villa Castillo,"Entire home in Sant Cugat del Vallès, Spain",8 guests ·  · 4 bedrooms ·  · 7 beds ·  · 2 baths,€ 315 ,Hosted by Manel, · 9 years hosting,Not guest favourite,Not guest favourite
31mall808- Newly refurbished 2br flat in the cente,"Entire rental unit in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting,Not guest favourite,Not guest favourite
Villa just 30km from Barcelona,"Entire chalet in Cabrils, Spain",8 guests ·  · 4 bedrooms ·  · 6 beds ·  · 3 baths,€ 350 ,Hosted by Meri, · 6 years hosting,4.83,18
Castillo de Meng,"Castle in Cabrils, Spain",16+ guests ·  · 10 bedrooms ·  · 14 beds ·  · 8.5 baths,"€ 1,886 ",Hosted by Marta And Emanuele, · 12 years hosting,Not guest favourite,Not guest favourite
12fh - Beautiful 1BR flat,"Entire rental unit in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 575 ,Hosted by Mercantil Brescia, · 2 months hosting,Not guest favourite,Not guest favourite
Magnificent boat,"Boat in Sant Adrià de Besòs, Spain",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1.5 baths,€ 180 ,Hosted by Adrian,2 years hosting,Not guest favourite,Not guest favourite
The vitalist island pool & metro BCN,"Room in Terrassa, Spain",2 bedrooms ·  · Private attached bathroom,€ 71 ,Stay with Jep,11 years hosting,Not guest favourite,Not guest favourite
Room close to La Fira de Barcelona,"Room in L'Hospitalet de Llobregat, Spain",1 double bed ·  · Shared bathroom,€ 200 ,Hosted by Juan Manuel,3 years hosting,Not guest favourite,Not guest favourite
Catalonia Paradise,"Entire cabin in Sant Cugat del Vallès, Spain",6 guests ·  · 3 bedrooms ·  · 3 beds ·  · 2 baths,€ 350 ,Hosted by Maria Luisa,4 years hosting,Not guest favourite,Not guest favourite
"ar5 Great 1 bedroom apartment terrace, Born center","Entire rental unit in Barcelona, Spain",3 guests ·  · 1 bedroom ·  · 3 beds ·  · 1 bath,€ 323 ,Hosted by Acomodis Apartments,12 years hosting,Not guest favourite,Not guest favourite
Rent boat in Barcelona,"Boat in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 3 baths,€ 145 ,Hosted by Federico B., · 5 years hosting,Not guest favourite,Not guest favourite
GOOD APARTMENT GRAN VIA,"Entire rental unit in Barcelona, Spain",5 guests ·  · 3 bedrooms ·  · 4 beds ·  · 1 bath,€ 249 ,Hosted by Fernando,5 years hosting,Not guest favourite,Not guest favourite
Yacht with large sun deck in Barcelona,"Boat in Sant Adrià de Besòs, Spain",5 guests ·  · 2 bedrooms ·  · 3 beds ·  · 2 baths,€ 342 ,Hosted by Pether,4 years hosting,Not guest favourite,Not guest favourite
pr1mall820,"Entire rental unit in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 1 bath,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting,Not guest favourite,Not guest favourite
VW Kombi T2 Westfalia campervan in Barcelona,"Camper/RV in L'Hospitalet de Llobregat, Spain",2 guests ·  · 1 bed ·  · Half-bath,€ 91 ,Hosted by Advantura, · 5 years hosting,5.0,14
Luxury floor,"Room in Barcelona, Spain",1 bed ·  · Private attached half bathroom,€ 170 ,Stay with Marali,1 month hosting,Not guest favourite,Not guest favourite
61par-Super Centric & bright 2BR flat,"Entire rental unit in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1 bath,"€ 1,500 ",Hosted by Loca Bcn, · 11 years hosting,Not guest favourite,Not guest favourite
Diagonal individual,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,Price not specified,Hosted by Josiane, · 11 years hosting,Not guest favourite,Not guest favourite
Mountain house room 2 people,"Room in Vilassar de Dalt, Spain",1 bunk bed ·  · Shared bathroom,€ 62 ,Stay with Paula Alicia,3 years hosting,Not guest favourite,Not guest favourite
14mall803,"Entire rental unit in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting,Not guest favourite,Not guest favourite
Entlo2mall817,"Entire rental unit in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 1 bath,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting,Not guest favourite,Not guest favourite
44mall815- Bright 2br apartment,"Entire rental unit in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting,Not guest favourite,Not guest favourite
CAN JULIÀ APARTMENT IN A NATURAL SETTING,"Entire condo in Sant Esteve Sesrovires, Spain",4 guests ·  · 2 bedrooms ·  · 4 beds ·  · 2 baths,€ 168 ,Hosted by Pere Anton,3 years hosting,Not guest favourite,Not guest favourite
Diagonal individual,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,Price not specified,Hosted by Josiane,3 years hosting,Not guest favourite,Not guest favourite
Awesome loft close to airport,"Entire loft in Cornellà de Llobregat, Spain",2 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 332 ,Hosted by Andrés,8 years hosting,Not guest favourite,Not guest favourite
vill311 Great 3 bedr flat 2 bathr next city center,"Entire rental unit in Barcelona, Spain",5 guests ·  · Studio ·  · 0 baths,€ 468 ,Hosted by Acomodis Apartments,12 years hosting,Not guest favourite,Not guest favourite
